pest_name,scientific_name,intro1,intro2
Asian longhorned beetle,Anoplophora glabripennis,"The Asian longhorn beetle (ALB), Anoplophora glabripennis Motschulsky (Coleoptera: Cerambycidae), is a xylophagous longhorned beetle native to the Korean peninsula and eastern China. It became  a serious pest in China following the widespread planting of nonnative trees (Lingafelter and Hoebeke 2002, Williams et al. 2004, Herard et al. 2009, Javal 2019) and now has a  range that extends from 21° to 43° N (Yan 1985, Haack and Hoebeke 1996, Lingafelter and Hoebeke 2002). In North America, this latitudinal range encompasses Cancun, Mexico to  Milwaukee, Wisconsin . Invasive ALB populations in Europe occur as far north as 60° N, in Finland (EPPO 2021, Schmitt et al. 2025b). In the United States, the beetle was first discovered on Long Island, NY, in 1996, where it likely arrived via wood packaging from China (Haack and Hoebeke 1996). The pest spread to a number of sites in the eastern United States and Canada but has since been eradicated in Illinois, New Jersey, New York City, Boston, Mississauga, and Toronto (Coyle et al. 2021, EPPO 2021). However, infestations currently persist in central Long Island, NY; Worcester County, MA; Clermont County, OH; and Charleston County, SC (Coyle et al. 2021, USDA-APHIS 2025). ALB is a major threat to the maple hardwood lumber and sugar maple syrup industries, as well as tourism associated with fall colors in maple trees (Smith and Wu 2008). The cost of a complete infestation of all urban areas in the U.S. has been estimated at $669 billion (Nowak et al. 2001).","An estimated 30-35% of trees in the eastern United States are species commonly attacked by the pest (Nowak et al. 2001, Smith and Wu 2008). ALB can complete is its lifecycle on Acer, Aesculus, Albizia julibrissin, Betula, Cercidiphyllum, Elaeagnus angustifolia, Fraxinus, Platanus, Populus, Salix, Sorbus aucuparia and Ulmus species (van der Gaag and Loomans 2014). However, preferred genera in North America are Acer and Ulmus, compared to Populus and Salix in China (Hu et al. 2009, van der Gaag and Loomans 2014). Following oviposition under the bark of host trees, larvae feed in the cambial region before burrowing into the inner xylem and heartwood (Haack and Hoebeke 1996, Haack 2006). ALB may overwinter as an egg, larva, or pupa, though typically as an egg or larva, before emerging from round exit holes as adults (Haack and Hoebeke 1996, Haack 2006, Herard et al. 2009, Faccoli et al. 2015, Trotter and Keena 2016). ALB diapause termination requires a chilling period, and ALB larvae may be freeze tolerant (Roden et al. 2008, Torson et al. 2021). "
Asiatic rice borer,Chilo suppressalis,"The Asiatic rice borer (ASRB), Chilo suppressalis Walker (Lepidoptera: Crambiidae), is a stem borer widespread throughout Asia, Oceana, the Middle East, and Europe and has been recorded in Hawaii (CAPS 2025, Meng et al. 2008). While host plants include water oat, sorghum, millet, corn, and other grasses, ASRB larvae cause major damage to rice crops by severing panicles or the vascular system of tillers leading to white earheads and dead heart (Kiritani and Iwao 1967, Muralidharan and Pasalu 2006, Chen et al. 2014, EPPO 2019).",The pest is not known to occur in the conterminous United States but Pyraloidea larvae are frequently intercepted at U.S. ports (Solis 2006).
Honeydew moth,Cryptoblabes gnidiella,"Native to the Mediterranean region, the honeydew moth (CGN), Cryptoblabes gnidiella (Lepidoptera: Pyralidae), is a highly polyphagous primary and secondary pest of many economically important crops, including avocado, citrus, corn, cotton, grape, loquat, pomegranate, rice, and wheat (Silva and Mexia 1999, Molet 2013). The pest is usually associated with coccoids and pseudococcids, the honeydew of which CGN larvae feed on, but CGN can also directly harm fruit though the particular damage is highly host-species specific (Avidov and Gothilf 1960, Yehuda 1991, Silva and Mexia 1999, Molet 2013).","CGN has spread throughout many southern European and northern and southern African countries, as well as Brazil, Fiji, India, Malaysia, New Zealand, Uruguay, and Hawaii in the United States (EPPO 2025, Molet 2013). While not yet established in the coterminous U.S., it has been intercepted hundreds of times at ports of entry, often from countries where it is not known to be established (Molet 2013, Velez-Gavilan 2023). CGN lacks a true diapause, but overwinters in either the larval or pupal stages (Avidov and Gothilf 1960, Molet et al. 2013, Lucchi et al. 2019). "
Emerald ash borer,Agrilus planipennis,"The emerald ash borer (EAB), Agrilus planipennis Fairmaire (Coleoptera: Buprestidae), is a flat-headed, wood-boring beetle native to eastern Asia that almost exclusively requires ash trees (Fraxinus spp.) to complete its life cycle (Poland et al. 2015, USDA 2025). It was first discovered in North America in 2002 in Michigan and Ontario, though it likely had entered Michigan in the early to mid-1990s (Siegert et al. 2014). EAB is now present in 37 U.S. states and six Canadian provinces (EPPO 2025, USDA-APHIS 2025). Upon hatching, eggs laid by adult beetles in ash bark crevices burrow into the tree to feed on the inner phloem, outer xylem, and cambium, where young larvae or pre-pupae overwinter in serpentine larval galleries (Tluczek et al. 2011, Poland et al. 2015). This feeding usually results in the death of the tree within about six years (Knight et al. 2013). EAB’s cryptic nature, in which all life stages except for the adult beetle are inside of trees, makes early detection of this pest extremely difficult (Haack et al. 2002, USDA-APHIS 2025). ","All North American ash species are vulnerable to EAB, though blue ash (F. quadrangulata Michaux) appears to be less preferred (Poland et al. 2015). In its native range, EAB generally attacks trees that are already stressed (reviewed by Tluczek et al. 2011). In North America, it attacks both healthy and stressed trees, though stressed trees produce higher numbers of adults (Poland and McCullough 2006, Tluczek et al. 2011). White fringetree [Chionanthus virginicus L. (Oleaceae)], and olive [Olea europaea L. (Oleaceae)], both of which are in the same family as Fraxinus spp., are possible hosts for EAB; however, insects may exhibit higher mortality rates on these species (Rutledge and Arango-Velez 2017, Peterson and Cipollini 2020). The financial impact of EAB in the U.S. is estimated to be in the billions of dollars (Aukema et al. 2011). Additionally, the widespread loss of ash trees has resulted in decreased biodiversity and lost ecosystem services (Schrader et al. 2021)."
Egyptian cottonworm,Spodoptera littoralis,"The Egyptian cottonworm (ECW), Spodoptera littoralis Boisduval (Lepidoptera: Noctuidae), is a highly destructive, polyphagous moth present throughout southern Europe, the Mediterranean basin, the Middle East, Africa, China, and India (EPPO 2025). Host plants include 80 plant species from over 40 families, but ECW is considered a major pest of cotton, maize, potato, sugarcane, soybeans, vegetables, and wheat (CABI 2022).","Development times and overall survival rates of ECW can depend on the host plant (Salama et al. 1971, Shoman et al. 2025). The larval stage, which has six instars, can damage plants by extensive defoliation and by attacking growing points and mining or cutting stems (Baker and Miller 1974, EFSA 2015, CABI 2022). ECW does not have diapause but overwinters in the soil as a late stage larva or pupa (Yathom 1971, Ellis 2004, Miller 1977, Coop and Barker 2021). ECW is not known to be established in the United States but has been intercepted numerous times at ports of entry (Ellis 2004). "
False codling moth,Thaumatotibia leucotreta,"Native to sub-saharan Africa, the false codling moth (FCM), Thaumatotibia leucotreta Meyrick (Lepidoptera: Tortricidae), is a highly polyphagous pest now present throughout most of Africa and Israel (Carstens and Moore 2020). Economically important hosts include avocado, certain Citrus spp., corn, cotton, eggplants, grapes, stonefruit, peppers, and cut roses (EPPO 2013, van de Vossenberg 2013).","FCM completes five larval instars, which cause damage by boring into plant fruit before forming cocoons in the soil (NAPPFAST 2003). In 2008, a single adult FCM male was discovered in the wild in California and subsequently eradicated (Gilligan et al. 2011). If established in the U.S., FCM could cause significant economic damage (Venette et al. 2003)."
Japanese beetle,Popillia japoonica,"Native to Japan, the Japanese beetle (JPB), Popillia japonica Newman (Coleoptera: Scarabaeidae), is a highly polyphagous pest with more than 400 host plants, including food crops, fruit trees, turfgrass, and ornamental plants (Fleming 1972,  EPPO 2020, Tayeh et al. 2023). Since its first U.S. detection in 1916 in New Jersey, the beetle has become widespread throughout the eastern and central U.S. as well as parts of eastern Canada (Dickerson and Weiss 1918, Fleming 1972, EPPO 2020, Althoff and Rice 2022). Outbreaks in Colorado and California were eradicated (Althoff and Rice 2022); however, JPB is established in a small number of locations in the Pacific Northwest, including in British Columbia, Washington, and Oregon (EPPO 2020, Stoven et al. 2021, Zhu et al. 2023). The pest is also present in parts of Europe and eastern Russia and has been reported in India (India Biodiversity Portal 2016, EPPO 2020).","The beetle is univoltine or semivoltine (2-year life cycle) depending on local climatic conditions (Fleming 1972, Vittum 1986, EPPO 2020). Larvae overwinter as second or third instars in the soil, typically beneath managed turfgrass areas like lawns, pasture, and golf courses. Total associated costs of JPB in the U.S. are estimated at $460 million annually, with $234 million a year spent on control and turf replacement costs (Fleming 1972, USDA-APHIS 2015). "
Japanese pine sawyer beetle,Monochamus alternatus,"The Japanese pine sawyer beetle (JPSB), Monochamus alternatus Hope (Coleoptera: Cerambycidae), is a major vector of nematodes that cause pine wilt disease (PWD) (Vicente et al. 2012, EPPO 2024). Native to mainland China, Taiwan, Laos, Korea, and Japan, the vector JPSB has spread to South Korea and Vietnam (Kobayashi et al. 1984, Ma et al. 2006, EPPO 2024). Adult beetles carrying the nematodes, namely North American-native Bursaphelencus xylophilus (Steiner and Buhrer) Nickle (Nematoda: Aphelenchoididae), feed upon and infect healthy pine trees, which will show symptoms of infection due to xylem blockage caused by the nematode in about three weeks (Togashi and Magira 1981, Kobayashi et al. 1984, Vicente et al. 2012). JPSB beetles oviposit in the diseased tree, producing larvae that feed under the bark before diapausing as a fourth or fifth instar in the xylem or sapwood (Kobayashi et al. 1984, Ma et al. 2006, An et al. 2019, Togashi 2021). Before adult emergence, the nematodes congregate around callow JPSB adults, repeating the cycle (Kobayashi et al. 1984).","While B. xylophilus is native to North America and is rarely pathogenic to trees in its native range, JPSB also vectors other nematodes not known to occur in North America (CAPS 2013, An et al. 2019). In regions invaded by B. xylophilus, such as Portugal and Korea, PWD has resulted in millions of dollars of damage to forest products (Vicente et al. 2012, An et al. 2019). JPSB host plants are usually gymnosperms or are from the Pinus, Abies, Picea, Larix and Cedrus families, though Malus spp. and Acer spp. are also possible hosts (Kobayashi et al. 1984, Ma et al. 2006, Hu et al. 2013*)."
Light brown apple moth,Epiphyas postvittana,"Native to Australia, the light brown apple moth (LBAM), Epiphyas postvittana (Walker) (Lepidoptera: Tortricidae), is invasive in the United States, the United Kingdom, New Zealand, New Caledonia, and the Azores, with multiple interceptions reported in other countries (Danthanarayana 1975, EPPO 2024, Zhang et al. 2024). The highly polyphagous pest has over 500 reported host plants, though its economic impacts have been greatest for apple, pears, and grapes (Brinkerhoff 2011).","Due to a lack of diapause or other synchronizing factors, such as photoperiod or temperature, LBAM exhibits overlapping generations (Sullivan et al. 2014, Buergi et al. 2011). LBAM infestation can result in market access issues due to the risks of transporting live larvae on a large variety of host plants (Suckling et al. 2014). The pests’s distribution in the U.S. is limited to Hawaii, where it was first reported in 1893, and in California, where it was first confirmed in 2007 and now persists mainly around San Francisco and along the coast (Zimmerman 1978, Suckling and Brockerhoff 2010, Barker et al. 2020)."
Oak ambrosia beetle,Platypus quercivorus,"The oak ambrosia beetle (OAB), Platypus quercivorus Murayama (Coleoptera: Platypodidae), is a forest pest and vector of its symbiont, the pathogenic fungus, Raffaelea quercivora Kubono & Shin-Ito (Kubono and Ito 2002). Japanese oak wilt disease (JOW) caused by this fungus kills both healthy and stressed trees by blocking tracheary function (Kamata et al. 2002, Kubono and Ito 2002, Davis et al. 2005, Kobayashi and Ueda 2005). Host plants required to complete reproduction are Quercus species and several other members of the Fagaceae family, including chestnut (Castanea spp.), chinquapin (Castanopsis spp.), and stone oaks (Lithocarpus spp.) (Davis et al. 2005). However, OAB may attack trees of other species adjacent to an area of mass attack (Davis et al. 2005). Females inoculate galleries with the fungus prior to laying eggs, which the hatched larvae feed on (Kinuura 2002). If pupation does not occur before hibernation, larvae hibernate in the fifth star (Kinuura 1995, Kinuura 2002, USDA-APHIS 2011). ","OAB is distributed throughout India, Indonesia, Japan, and Papua New Guinea; however, R. quercivora has only been reported in Japan, where the beetle-vectored fungus has caused significant mortality in oak trees (Davis et al. 2005, USDA-APHIS 2011, EPPO 2020). OAB has a preference for larger trees due to their higher water content, which has left abandoned oak coppice forests in Japan particularly vulnerable to infection (Kobayashi and Ueda 2005, Nakajima 2019, EPPO 2020). OAB and JOW would cause considerable economic, environmental, and social impact if introduced to the U.S., where there are 28 possible susceptible species of oak (Davis et al. 2005, EPPO 2020). "
